"","Drill bit","Mean Thrust","Mean Torque","Degradation","Max Thrust","Max Torque","Area","Correlation","RUL"
"164","d1h15","281.798907272727","20.6731072727273","0.0475367329299914","503.78","37.565","4003.55497442","0.91323149498997","6"
"165","d1h16","258.867015884774","19.6357098765432","0.0525064822817632","502.33","36.236","4012.90840707708","0.936045750742859","5"
"166","d1h17","284.692795945946","21.1053261261261","0.0479688850475367","496.54","36.568","4262.62318115495","0.92320195224977","4"
"167","d1h18","278.989324695652","20.7007291304348","0.0496974935177182","505.24","38.563","4021.84772525693","0.934196740691246","3"
"168","d1h19","284.661374468085","20.888414893617","0.0507778738115817","527.12","37.233","4079.84935417003","0.93709551195547","2"
"169","d1h2","228.346600744681","16.096722287234","0.0406222990492653","325.64","29.587","4786.98459791346","0.612567369372248","19"
"170","d1h20","289.988181829787","21.8899757446809","0.0507778738115817","524.2","39.56","4393.63492639398","0.935443023618876","1"
"171","d1h21","223.759163474576","22.6705751412429","0.0764909248055315","592.76","45.876","12347.2050622597","0.741723779360188","0"
"172","d1h3","231.965754559585","16.1533798963731","0.0417026793431288","343.47","27.925","4589.006751601","0.703626411676433","18"
"173","d1h4","233.303657817259","16.7180864467005","0.0425669835782195","381.86","28.59","4337.00280281447","0.809288587067761","17"
"174","d1h5","236.30579495","17.07068025","0.0432152117545376","385.97","29.587","4617.24623757199","0.835650376308016","16"
"175","d1h6","240.6188416","17.6873439","0.0432152117545376","399.72","28.59","4362.46407903801","0.832706315560213","15"
"176","d1h7","241.541302475248","18.1261015346535","0.043647363872083","396.94","30.584","4508.18337663996","0.848478385877097","14"
"177","d1h8","245.729320478469","17.5683342105263","0.0451598962834918","419.66","30.917","4059.88446604856","0.88219587210032","13"
"178","d1h9","233.560990321101","16.6371531192661","0.047104580812446","415.38","29.587","4177.54416851653","0.894717061022096","12"
"179","d2h1","210.45814763285","15.0127216425121","0.0436708860759494","355.81","27.925","4168.02668070997","0.780112846566007","19"
"180","d2h10","251.493997416268","19.4436612440191","0.0440928270042194","432.47","33.576","4562.02816251502","0.878496231215423","10"
"181","d2h11","251.743230322581","19.2875147465438","0.0457805907172996","438.17","32.246","3725.42245400092","0.913227966311945","9"
"182","d2h12","237.83355925","18.85753125","0.0506329113924051","470.91","38.895","3748.5129422145","0.922214778237863","8"
"183","d2h13","268.934871788991","22.2306279816514","0.0459915611814346","468.07","37.565","4274.73319891654","0.90513091112054","7"
"184","d2h14","271.232440315315","21.6369193693694","0.0468354430379747","478.03","38.23","4346.45663967903","0.912197473087677","6"
"185","d2h15","275.379137802691","21.9677497757848","0.0470464135021097","496.54","37.565","4333.63668743998","0.911142911036944","5"
"186","d2h16","275.571963139013","21.3162668161435","0.0470464135021097","496.54","37.565","4485.76394395647","0.913191619730356","4"
"187","d2h17","241.080646816479","18.6451460674157","0.0563291139240506","496.54","41.222","4837.07983449509","0.932541411273918","3"
"188","d2h18","240.808421","18.9785059259259","0.0569620253164557","516.91","39.228","5229.67519725999","0.930155724061257","2"
"189","d2h19","263.400079576923","21.2529969230769","0.0548523206751055","531.5","46.541","5476.71728415892","0.926208408366501","1"
"190","d2h2","228.1886143","16.7033682","0.0421940928270042","355.81","29.255","4115.22080802853","0.812169745036175","18"
"191","d2h20","149.750657642726","17.5439167587477","0.114556962025316","582.55","63.828","15199.251217375","0.734350708677173","0"
"192","d2h3","234.346056960784","17.0733343627451","0.0430379746835443","396.94","28.59","4296.61484560696","0.840846966385256","17"
"193","d2h4","244.008822139303","17.7217592537313","0.0424050632911392","408.27","29.587","4098.00308338285","0.852769028858158","16"
"194","d2h5","236.68033097561","17.2251556097561","0.0432489451476793","392.83","28.922","3657.48552013154","0.874542286582212","15"
"195","d2h6","242.041170147783","17.5880773399015","0.0428270042194093","394.2","29.255","3931.01587935991","0.858117812488867","14"
"196","d2h7","248.047121932367","18.0239198067633","0.0436708860759494","425.35","29.587","4190.14129108249","0.876546808818476","13"
"197","d2h8","240.795587311321","17.9108680660377","0.0447257383966245","412.54","31.249","4133.21202275436","0.877000757734173","12"
"198","d2h9","247.414996889952","18.5974227272727","0.0440928270042194","413.96","31.249","4521.82334816246","0.866560361187689","11"
