"","Drill bit","Mean Thrust","Mean Torque","Degradation","Max Thrust","Max Torque","Area","Correlation","RUL"
"119","d14h15","262.507238571429","18.3917562857143","0.0213068181818182","445.15","34.241","4036.44874848495","0.919767789174081","30"
"120","d14h16","257.720024423963","18.0098714746544","0.0220170454545455","447.99","32.579","4090.38582987001","0.924040093855031","29"
"121","d14h17","247.550049321267","17.3739986425339","0.0224228896103896","440.87","32.246","4322.13137614995","0.914261556001655","28"
"122","d14h18","265.399387203791","18.7173526066351","0.0214082792207792","452.27","33.244","4280.51254862","0.911303139478987","27"
"123","d14h19","253.953627149321","17.7906957466063","0.0224228896103896","460.81","34.241","4274.76263030001","0.923193072629024","26"
"124","d14h2","268.664531840796","18.5354919900498","0.0203936688311688","436.6","33.244","4676.93783979001","0.851616685417938","43"
"125","d14h20","253.737528571429","18.5537137788018","0.0220170454545455","433.76","34.574","4376.43767618004","0.908371996679146","25"
"126","d14h21","259.822501851852","18.4980212037037","0.0219155844155844","449.42","33.909","4234.650231965","0.917314384814429","24"
"127","d14h22","255.181002293578","18.2886697247706","0.0221185064935065","443.72","33.576","4271.40880981996","0.915657698268942","23"
"128","d14h23","264.282089201878","19.0223192488263","0.0216112012987013","450.84","34.241","4306.12127450504","0.91411991734083","22"
"129","d14h24","263.120211737089","18.9427014553991","0.0216112012987013","436.6","32.911","4340.37193349493","0.912238268842155","21"
"130","d14h25","272.821701415094","19.3142983018868","0.0215097402597403","459.38","33.909","4092.30066671001","0.922604769451967","20"
"131","d14h26","268.717692523364","19.0344226635514","0.0217126623376623","472.2","33.909","4139.23037672997","0.92264540781871","19"
"132","d14h27","265.976017535545","19.2246830331754","0.0214082792207792","430.91","32.911","4250.93441955","0.91216359123581","18"
"133","d14h28","275.971254028436","19.8233685781991","0.0214082792207792","475.05","36.236","4333.67535626993","0.918508843222627","17"
"134","d14h29","271.810698156682","19.324317281106","0.0220170454545455","469.35","35.238","3947.90448902501","0.930060414119245","16"
"135","d14h3","267.655389447236","18.7401511055276","0.0201907467532468","435.18","34.241","4698.70390076004","0.876989103628547","42"
"136","d14h30","268.788137674419","19.4359861860465","0.0218141233766234","453.69","34.906","4113.59583552496","0.918961399544388","15"
"137","d14h31","280.180197129187","19.8460533014354","0.0212053571428571","477.89","36.236","4025.31467629003","0.915313219714456","14"
"138","d14h32","269.741817272727","18.7525314090909","0.0223214285714286","470.78","35.571","4116.20053870499","0.929222749849563","13"
"139","d14h33","266.736963636364","19.4430720909091","0.0223214285714286","469.35","36.236","4416.14180571004","0.923099826569137","12"
"140","d14h34","287.198346511628","20.587947627907","0.0218141233766234","496.4","38.23","4051.44893119996","0.933058763681853","11"
"141","d14h35","286.700811363636","20.265124","0.0223214285714286","505.07","37.565","3872.09712714504","0.941214465747323","10"
"142","d14h36","287.346533632287","20.2101614798206","0.0226258116883117","515.28","36.901","4023.50660741504","0.944133108207585","9"
"143","d14h37","289.935563181818","20.4962954545455","0.0223214285714286","515.28","36.901","4167.8506398251","0.938031171394438","8"
"144","d14h38","294.041700909091","20.8665354090909","0.0223214285714286","519.65","37.233","3984.37402985001","0.94168657715507","7"
"145","d14h39","293.571305882353","21.0654232579186","0.0224228896103896","512.36","39.228","3977.73019320494","0.94196304301909","6"
"146","d14h4","265.465034299517","18.4848365217391","0.0210024350649351","452.27","32.579","4518.58581754006","0.896905215147426","41"
"147","d14h40","285.526875862069","20.4449159051724","0.023538961038961","522.57","37.565","4116.70505014493","0.950771969996749","5"
"148","d14h41","301.830379111111","21.6114483111111","0.0228287337662338","548.83","39.228","4151.55605094007","0.947118673110126","4"
"149","d14h42","304.922431858407","21.9747141150442","0.0229301948051948","548.83","40.225","4288.72995856497","0.94792656042316","3"
"150","d14h43","308.434537711864","21.9197728813559","0.0239448051948052","572.16","40.89","4008.17419702979","0.957475811325016","2"
"151","d14h44","366.919382439024","37.9600744227642","0.062398538961039","700.01","89.093","13983.4586154558","0.702323668442932","1"
"152","d14h45","0","0","0.000101461038961039","0","0","0",NA,"0"
"153","d14h5","253.76787281106","17.5058584331797","0.0220170454545455","442.3","33.244","4328.933937505","0.912180903697528","40"
"154","d14h6","262.725849763033","18.4369231279621","0.0214082792207792","445.15","32.911","4667.41611711506","0.903490791821885","39"
"155","d14h7","266.180423076923","18.7859405769231","0.0211038961038961","439.45","33.244","4521.24212161999","0.910762944477587","38"
"156","d14h8","257.064998529412","18.2971437254902","0.0206980519480519","436.6","34.574","4769.46444309992","0.881914221198412","37"
"157","d14h9","258.998383253589","18.0963887559809","0.0212053571428571","446.57","34.241","4472.37094626506","0.902318504514594","36"
